author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/275836899/;Зарайск;sale;flat;11;12;5;303.0;531661349;2014;-1;-1;-1;-1;117 м²;24 м²;+79652918238;Хамовники;Трубецкая ;12;Фрунзенская;Садовые кварталы
ID 116114838;homeowner;https://www.cian.ru/sale/flat/308719974/;Зарайск;sale;flat;2;11;2;42.4;12999000;2019;-1;-1;-1;-1;16,7 м²;15,7 м²;+79660614551;;бульвар Веласкеса;7к1;Ольховая;
Неометрия;developer;https://sochi.cian.ru/sale/flat/308286114/;Зарайск;sale;flat;11;17;1;21.0;9905700;2026;-1;-1;-1;Без отделки;9 м²;4,4 м²;+78612059303;Адлерский;;;;Лестория
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/308015928/;Зарайск;sale;flat;28;37;4;177.3;215000000;2024;-1;-1;-1;-1;-1;20 м²;+79660272578;Дорогомилово;Поклонная ;9;Поклонная;Поклонная 9
Авеню-Мск;real_estate_agent;https://www.cian.ru/sale/flat/307220600/;Зарайск;sale;flat;1;5;3;65.1;17500000;-1;-1;-1;-1;-1;36,6 м²;6,7 м²;+79637145462;Марьина роща;4-й Стрелецкий проезд;13;Савёловская;
Интеллект;developer;https://krym.cian.ru/sale/flat/306356337/;Зарайск;sale;flat;7;20;1;24.84;8609974;2026;-1;Монолитно-кирпичный, кирпичный;-1;Без отделки, предчистовая;-1;-1;+78633035137;;;;;Крымская Резиденция
ZIP Realty;real_estate_agent;https://www.cian.ru/sale/flat/308825551/;Зарайск;sale;flat;2;12;3;106.2;53000000;2005;-1;-1;-1;-1;60 м²;16 м²;+79660274811;Хорошевский;Ходынский бульвар;19;ЦСКА;Гранд-парк
Новый Адрес;real_estate_agent;https://spb.cian.ru/sale/flat/304248397/;Зарайск;sale;flat;3;12;3;68.7;11800000;1982;-1;-1;-1;-1;43,7 м²;7,1 м²;+79052164851;Приморский;Богатырский проспект;5К1;Пионерская;
Эталон;developer;https://ekb.cian.ru/sale/flat/308412109/;Зарайск;sale;flat;3;5;2;40.69;5821699;2028;-1;Монолитно-кирпичный;-1;Предчистовая;20 м²;8,6 м²;+73432260955;;;;;Балтым-Парк
SHOW ME;real_estate_agent;https://www.cian.ru/sale/flat/298128369/;Зарайск;sale;flat;3;6;-1;119.0;63000000;2016;-1;-1;-1;-1;-1;-1;+79197672046;Беговой; 3-я Ямского Поля;9;Белорусская;Art Residence
DealEstate;real_estate_agent;https://spb.cian.ru/sale/flat/305153129/;Зарайск;sale;flat;19;26;3;115.0;39900000;-1;-1;-1;-1;-1;66 м²;18 м²;+79819394106;Приморский;Приморский проспект;137к1;Беговая;Золотая гавань
НВМ;developer;https://krasnodar.cian.ru/sale/flat/307997253/;Зарайск;sale;flat;2;18;2;51.71;7756500;2027;-1;Монолитно-кирпичный;-1;Предчистовая;23,3 м²;-1;+78612058375;;;;;Народные Кварталы
hoomie;real_estate_agent;https://www.cian.ru/sale/flat/305679858/;Зарайск;sale;flat;11;20;3;87.02;32910964;2024;-1;-1;-1;-1;39,1 м²;34,3 м²;+79652908569;Даниловский;;;Тульская;Форст ЖК
ZAPAD REALTY - офис Маршала Жукова;real_estate_agent;https://www.cian.ru/sale/flat/307888004/;Зарайск;sale;flat;9;9;3;50.0;11700000;-1;-1;-1;-1;-1;34,1 м²;6 м²;+79856333551;Чертаново Центральное; Красного Маяка;11К1;Пражская;
СК10;developer;https://rostov.cian.ru/sale/flat/289997272/;Зарайск;sale;flat;19;25;2;38.54;5140000;2025;-1;-1;-1;Чистовая;28,6 м²;-1;+78632251192;Советский;;;;Малина парк
ZIP Realty;real_estate_agent;https://www.cian.ru/sale/flat/307770341/;Зарайск;sale;flat;9;18;4;176.6;96000000;2006;-1;-1;-1;-1;106 м²;19,3 м²;+79169574456;Хорошевский; Гризодубовой;4К4;ЦСКА;Гранд-парк
ESSE REAL ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/308363866/;Зарайск;sale;flat;3;9;2;37.0;13199000;-1;-1;-1;-1;-1;22 м²;6 м²;+79855568924;Бабушкинский;Староватутинский проезд;3;Бабушкинская;
TEN девелопмент;developer;https://ekb.cian.ru/sale/flat/306297919/;Зарайск;sale;flat;2;18;2;49.5;7730000;2026;-1;-1;-1;Без отделки;30,4 м²;5,1 м²;+73432261752;Верх-Исетский;;;Площадь 1905 года;Русь XXI ЖК
SHOW ME;real_estate_agent;https://www.cian.ru/sale/flat/293126875/;Зарайск;sale;flat;21;23;4;244.1;78000000;2007;-1;-1;-1;-1;-1;-1;+79197672046;Хорошевский; Гризодубовой;2;ЦСКА;Гранд-парк
Елена Подстрешная;realtor;https://www.cian.ru/sale/flat/308858083/;Зарайск;sale;flat;3;28;4;133.2;41500000;2021;-1;-1;-1;-1;80 м²;33 м²;+79165339960;Филевский парк;Береговой проезд;1Б;Шелепиха;мой адрес На Береговом
СЗ Феникс;developer;https://rostov.cian.ru/sale/flat/305377450/;Зарайск;sale;flat;15;19;2;42.1;8129999;2024;-1;-1;-1;Без отделки;23,2 м²;5 м²;+78632251223;Советский;проспект Стачки;198В;;Times
