author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Три Ступени;real_estate_agent;https://korolev.cian.ru/sale/flat/307652065/;Высоковск;sale;flat;4;4;2;42.0;5600000;1965;-1;-1;-1;-1;29 м²;22 м²;+79855798957;;Станционная ;35/2;Медведково;
Самолет Плюс Москва ЦАО;real_estate_agent;https://lyubertsy.cian.ru/sale/flat/304959349/;Высоковск;sale;flat;7;17;1;34.0;6300000;2016;-1;-1;-1;-1;15 м²;10 м²;+79652698894;; Вертолетная;16к1;Некрасовка;
CENTURY 21 Перспектива;real_estate_agent;https://lyubertsy.cian.ru/sale/flat/306254042/;Высоковск;sale;flat;4;5;2;47.3;6500000;1965;-1;-1;-1;-1;30,4 м²;6 м²;+79057195168;; Космонавтов;22;Панки;
Метражи group;real_estate_agent;https://mytishchi.cian.ru/sale/flat/308572314/;Высоковск;sale;flat;7;9;2;44.5;8499990;Напишите автору;-1;-1;-1;-1;20 м²;8 м²;+79163599312;;Олимпийский проспект;21к5;Медведково;
CENTURY 21 Перспектива;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/308609691/;Высоковск;sale;flat;2;5;2;41.7;6300000;1966;-1;-1;-1;-1;25,8 м²;6 м²;+79057195168;; Бондарева;27;Котельники;
ТСН Владис;real_estate_agent;https://korolev.cian.ru/sale/flat/308636043/;Высоковск;sale;flat;11;22;1;52.7;9522000;2015;-1;-1;-1;-1;10,5 м²;23,8 м²;+79623635397;;Пионерская ;19к1;ВДНХ;Золотые ворота
Метражи group;real_estate_agent;https://mytishchi.cian.ru/sale/flat/306656982/;Высоковск;sale;flat;11;15;1;22.0;5850000;2022;-1;-1;-1;-1;12 м²;4 м²;+79850413268;; Колпакова;44;Медведково;Dom Smile
Метражи group;real_estate_agent;https://korolev.cian.ru/sale/flat/299444412/;Высоковск;sale;flat;15;18;1;36.3;8000000;2006;-1;-1;-1;-1;18 м²;10 м²;+79850413268;;проезд Макаренко;1;Медведково;
CENTURY 21 Перспектива;real_estate_agent;https://reutov.cian.ru/sale/flat/307948772/;Высоковск;sale;flat;15;25;1;27.0;7200000;2013;-1;-1;-1;-1;16 м²;6 м²;+79857224948;;Юбилейный проспект;72;Никольское;Новокосино-2
Этажи Москва;real_estate_agent;https://lyubertsy.cian.ru/sale/flat/308520487/;Высоковск;sale;flat;1;5;1;32.0;4000000;1966;-1;-1;-1;-1;19 м²;6 м²;+79645662059;; Космонавтов;21;Панки;
Жанна Асманская;realtor;https://lyubertsy.cian.ru/sale/flat/308960560/;Высоковск;sale;flat;21;25;1;34.5;8500000;2018;-1;-1;-1;-1;15,2 м²;8,6 м²;+79645797758;; Юности;13к1;Лухмановская;Люберецкий
Комета Эстейт;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/306951955/;Высоковск;sale;flat;4;18;2;50.5;8500000;2011;-1;-1;-1;-1;19,2 м²;14,6 м²;+79031230291;; Ленина;2а;Котельники;Угрешский
Самолет Плюс - Домодедово;real_estate_agent;https://lyubertsy.cian.ru/sale/flat/308710641/;Высоковск;sale;flat;5;25;1;41.1;7800000;-1;-1;-1;-1;-1;17,9 м²;9,9 м²;+79175178859;;проспект Гагарина;3/8;Люберцы;Красная Горка
CENTURY 21 Перспектива;real_estate_agent;https://reutov.cian.ru/sale/flat/307567637/;Высоковск;sale;flat;3;5;2;43.7;8690000;1971;-1;-1;-1;-1;28 м²;6 м²;+79660530876;;Советская ;25;Реутов;
Анна Луговая;realtor;https://lyubertsy.cian.ru/sale/flat/308597152/;Высоковск;sale;flat;4;22;1;38.0;8550000;2023;-1;-1;-1;-1;21 м²;10 м²;+79152513744;;Красноармейская ;19;Люберцы;
